Unnamed: 0,junction,node,x,y,latitude,longitude,stream_order,receiver_junction,geometry,node.1,row,col,latitude.1,longitude.1,chi,elevation,flow_distance,drainage_area,m_chi,b_chi,source_key,basin_key,segmented_elevation,dist,sinuosity,gradient,Junction Index,most_common_rocktype_id,RCS_D,LE,ksn_bin,ksn_bin_label,ksn_bin_midpoint
0,303,17035626,525157.5,6108312.5,55.1208665,-2.60553295,1,304,POINT (-2.60553295 55.1208665),17035626,1033,5307,55.1208665,-2.60553295,24.568,399.89,99482.0,1250100.0,26.869,-260.48,414,6,399.65,0.0,1.2143376184687866,0.0450508635423186,303,30.0,"LIMESTONE, SANDSTONE, SILTSTONE AND MUDSTONE",0.552380952,5,24–28,26.1535
1,304,20323241,525907.5,6107467.5,55.1132346,-2.59385039,2,305,POINT (-2.59385039 55.1132346),20323241,1202,5457,55.1132346,-2.59385039,22.53,348.99,98110.0,3974000.0,20.083,-103.11,414,6,349.38,0.0,1.5295323941896113,0.0334375030981481,304,30.0,"LIMESTONE, SANDSTONE, SILTSTONE AND MUDSTONE",0.552380952,4,20–24,21.8765
2,305,26518767,526587.5,6105882.5,55.0989558,-2.58333861,3,306,POINT (-2.58333861 55.0989558),26518767,1519,5593,55.0989558,-2.58333861,19.887,291.32,95472.0,12434000.0,10.91,74.384,413,6,291.36,0.0,1.3135058440131508,0.0095009464304748,305,650.0,SANDSTONE AND MUDSTONE,0.552380952,2,11–15,12.7015
3,306,27836136,526842.5,6105547.5,55.0959317,-2.57937415,3,307,POINT (-2.57937415 55.0959317),27836136,1586,5644,55.0959317,-2.57937415,19.533,287.32,94919.0,13839000.0,10.898,74.628,413,6,287.5,0.0,1.7012098682921049,0.0102881488320191,306,650.0,SANDSTONE AND MUDSTONE,0.552380952,2,11–15,12.7015
4,307,27285279,527212.5,6105687.5,55.0971696,-2.57356298,3,308,POINT (-2.57356298 55.0971696),27285279,1558,5718,55.0971696,-2.57356298,19.122,283.25,94246.0,16520000.0,10.898,74.638,413,6,283.03,0.0,1.3797627853070444,0.007648070357081,307,650.0,SANDSTONE AND MUDSTONE,0.552380952,2,11–15,12.7015
5,308,33964343,528502.5,6104002.5,55.0819558,-2.55351727,3,309,POINT (-2.55351727 55.0819558),33964343,1895,5976,55.0819558,-2.55351727,17.525,267.02,91318.0,30443000.0,1.8318,234.91,413,6,267.01,0.0,1.7254583784924191,0.0009165781559056,308,650.0,SANDSTONE AND MUDSTONE,0.552380952,0,0–6,3.11475
6,309,32889029,529332.5,6104272.5,55.0843336,-2.54048823,3,310,POINT (-2.54048823 55.0843336),32889029,1841,6142,55.0843336,-2.54048823,16.882,266.22,89812.0,34680000.0,1.1089,247.54,413,6,266.26,0.0,1.692916002988942,0.0017101283336195,309,30.0,"LIMESTONE, SANDSTONE, SILTSTONE AND MUDSTONE",0.552380952,0,0–6,3.11475
7,310,30703706,531047.5,6104822.5,55.0891716,-2.51356276,3,311,POINT (-2.51356276 55.0891716),30703706,1731,6485,55.0891716,-2.51356276,15.665,263.14,86763.0,39783000.0,5.2318,181.41,413,6,263.36,0.0,1.4747027935501806,0.0028499116307602,310,30.0,"LIMESTONE, SANDSTONE, SILTSTONE AND MUDSTONE",0.552380952,0,0–6,3.11475
8,311,31855539,532197.5,6104532.5,55.0864924,-2.49557868,3,312,POINT (-2.49557868 55.0864924),31855539,1789,6715,55.0864924,-2.49557868,15.005,259.76,85014.0,42846000.0,4.6962,189.28,413,6,259.74,0.0,1.54413366002034,0.0026271233310753,311,30.0,"LIMESTONE, SANDSTONE, SILTSTONE AND MUDSTONE",0.552380952,0,0–6,3.11475
9,312,33407110,532797.5,6104142.5,55.0829486,-2.48622414,3,313,POINT (-2.48622414 55.0829486),33407110,1867,6835,55.0829486,-2.48622414,14.602,257.88,83909.0,50822000.0,6.7665,159.07,413,6,257.87,0.0,1.8254491817752323,0.0096183222193722,312,30.0,"LIMESTONE, SANDSTONE, SILTSTONE AND MUDSTONE",0.552380952,1,6–11,8.492999999999999
